epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,24,,,,,,,0.2395833283662796,0.19838564097881317,2.248283624649048
0,24,,,,0.15006467700004578,0.11131659895181656,2.2862424850463867,,,
1,49,,,,,,,0.3020833432674408,0.28833499550819397,2.1949303150177
1,49,,,,0.27166882157325745,0.2532254755496979,2.2167012691497803,,,
2,74,,,,,,,0.4895833432674408,0.4637761414051056,2.0941178798675537
2,74,,,,0.4230271577835083,0.4069037437438965,2.1336817741394043,,,
3,99,,,,,,,0.625,0.6201388835906982,1.9288727045059204
3,99,,,,0.5148770809173584,0.50118088722229,2.0285518169403076,,,
4,124,,,,,,,0.65625,0.6333581805229187,1.7267378568649292
4,124,,,,0.5950840711593628,0.5949687957763672,1.8939049243927002,,,
5,149,,,,,,,0.6666666865348816,0.6610931158065796,1.5770211219787598
5,149,,,,0.6326002478599548,0.6367397904396057,1.7562696933746338,,,
6,174,,,,,,,0.84375,0.8403935432434082,1.3759502172470093
6,174,,,,0.746442437171936,0.7507964372634888,1.5892704725265503,,,
7,199,,,,,,,0.78125,0.7964616417884827,1.2825452089309692
7,199,,,,0.7477360963821411,0.7541463375091553,1.4474228620529175,,,
8,224,,,,,,,0.84375,0.8458934426307678,1.1309131383895874
8,224,,,,0.763260006904602,0.767559826374054,1.3011066913604736,,,
9,249,,,,,,,0.8125,0.7895172238349915,1.1216338872909546
9,249,,,,0.8033635020256042,0.8024510145187378,1.1845444440841675,,,
10,250,0.7448979616165161,0.7640072703361511,1.4951951503753662,,,,,,
